city,date,EVER,PHEV,FUEL,EV
北京,2022/6/1,826,53530,104850,66314
北京,2022/7/1,1100,44840,80172,43582
北京,2022/8/1,1232,55883,102624,60016
北京,2022/9/1,1768,55298,106497,62704
北京,2022/10/1,2459,56940,108024,59493
北京,2022/11/1,1747,47248,109446,65525
北京,2022/12/1,2193,48138,105624,62445
北京,2023/1/1,1050,52234,102123,68747
北京,2023/2/1,1434,48745,108480,70424
北京,2023/3/1,3476,48752,99960,68890
北京,2023/4/1,2904,45324,107454,72192
北京,2023/5/1,2621,46417,109410,80168
北京,2023/6/1,3232,55216,106617,64670
北京,2023/7/1,2603,50835,105369,66060
北京,2023/8/1,3046,51095,100662,68488
北京,2023/9/1,2346,43086,107691,75099
北京,2023/10/1,2517,55148,105381,65368
北京,2023/11/1,3017,56135,108348,64867
北京,2023/12/1,3569,47226,107934,71469
北京,2024/1/1,3367,51022,111516,67154
北京,2024/2/1,2890,48790,102411,71261
北京,2024/3/1,3773,44860,103413,74189
北京,2024/4/1,3191,52226,108138,64453
北京,2024/5/1,3273,50262,103080,70080
北京,2024/6/1,4959,49459,111135,61748
北京,2024/7/1,5710,55599,106164,60396
北京,2024/8/1,4760,45483,109524,74373
北京,2024/9/1,5449,53366,111243,65560
